"","acceptedScientificName","acceptedTaxonKey","adm1","adm2","associatedReferences","basisOfRecord","catalogNumber","class","classKey","cloc","collectionCode","collectionKey","continent","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","dynamicProperties","endDayOfYear","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNumber","footprintSRS","footprintWKT","fullCountry","gbifID","gbifRegion","genericName","genus","genusKey","geodeticDatum","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/captive_cultivated","http://unknown.org/georeferenceRemarks","http://unknown.org/language","http://unknown.org/license","http://unknown.org/nick","http://unknown.org/rightsHolder","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","installationKey","institutionCode","institutionID","institutionKey","isInCluster","islandGroup","ISO2","isSequenced","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationID","locationRemarks","lon","modified","month","municipality","nameAccordingTo","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismQuantity","organismQuantityType","organismRemarks","originalNameUsage","otherCatalogNumbers","ownerInstitutionCode","parentEventID","phylum","phylumKey","preparations","previousIdentifications","projectId","protocol","publishedByGbifRegion","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rightsHolder","samplingEffort","samplingProtocol","scientificName","scientificNameAuthorship","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","typeStatus","verbatimDepth","verbatimEventDate","verbatimIdentification","verbatimLocality","vernacularName","vitality","waterBody","year","downloadDate"
"1","Chthamalus montagui Southward, 1976",2115617,"England",NA,NA,"HUMAN_OBSERVATION",NA,"Maxillopoda",203,"Trefusis Point, United Kingdom, EUROPE",NA,NA,"EUROPE",50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,18,NA,NA,NA,18,"2021-01-18","376","Survey start time: 16:00:00, low tide time: 15:04:00, low tide height: 1.1 m",NA,"Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468832133","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"People Power Science",NA,NA,"P1180009.JPG","Accepted","Ben Holt","7df861f6-fe57-4b36-a74e-35caa7acc0f6",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468832133,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:39.900+00:00","2025-09-13T12:07:39.900+00:00",50.16149,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Trefusis Point",NA,NA,-5.058191,NA,1,NA,NA,"5751",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivCrustaceans45","Chthamalus montagui Southward, 1976","Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",18,"NBNSYS0000174547","NBNSYS0000174547",2115617,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Montagu's Stellate Barnacle",NA,NA,2021,2025-09-26
"2","Chthamalus montagui Southward, 1976",2115617,"England",NA,NA,"HUMAN_OBSERVATION",NA,"Maxillopoda",203,"South Fistral, United Kingdom, EUROPE",NA,NA,"EUROPE",50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,17,NA,NA,NA,17,"2021-01-17","375","Survey start time: 13:40:00, low tide time: 14:15:00, low tide height: 1.28 m",NA,"Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468836078","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"People Power Science",NA,NA,"Montaguís stellate barnacle.jpg","Accepted","Ben Holt","2c6e8f8c-9a66-4f43-85b0-9b5090a141fb",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468836078,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:42.542+00:00","2025-09-13T12:07:42.542+00:00",50.413357,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"South Fistral",NA,NA,-5.105353,NA,1,NA,NA,"5749",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivCrustaceans45","Chthamalus montagui Southward, 1976","Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",17,"NBNSYS0000174547","NBNSYS0000174547",2115617,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Montagu's Stellate Barnacle",NA,NA,2021,2025-09-26
"3","Chthamalus montagui Southward, 1976",2115617,"England",NA,NA,"HUMAN_OBSERVATION",NA,"Maxillopoda",203,"Clodgy Point, United Kingdom, EUROPE",NA,NA,"EUROPE",50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,14,NA,NA,NA,14,"2021-01-14","372","Survey start time: 12:15:00, low tide time: 12:41:00, low tide height: 0.4 m",NA,"Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468836400","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"People Power Science",NA,NA,"Montagu's stellate.JPG","Accepted","Ben Holt","a32d2794-f93a-49e1-9310-f07a9b9f90c9",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468836400,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:42.764+00:00","2025-09-13T12:07:42.764+00:00",50.219544,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Clodgy Point",NA,NA,-5.495591,NA,1,NA,NA,"5713",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivCrustaceans45","Chthamalus montagui Southward, 1976","Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",14,"NBNSYS0000174547","NBNSYS0000174547",2115617,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Montagu's Stellate Barnacle",NA,NA,2021,2025-09-26
"4","Chthamalus montagui Southward, 1976",2115617,"England",NA,NA,"HUMAN_OBSERVATION",NA,"Maxillopoda",203,"Widemouth, United Kingdom, EUROPE",NA,NA,"EUROPE",50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,12,NA,NA,NA,43,"2021-02-12","385","Survey start time: 12:35:00, low tide time: 12:23:00, low tide height: 1.2 m",NA,"Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468831787","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"People Power Science",NA,NA,"Marked Chthamalus montagui.jpg","Accepted","Jaimie Barnes","1959985d-50e6-4bfa-9e38-7b5d90b434b0",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468831787,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:39.665+00:00","2025-09-13T12:07:39.665+00:00",50.795987,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Widemouth",NA,NA,-4.559459,NA,2,NA,NA,"5875",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivCrustaceans45","Chthamalus montagui Southward, 1976","Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",43,"NBNSYS0000174547","NBNSYS0000174547",2115617,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Montagu's Stellate Barnacle",NA,NA,2021,2025-09-26
"5","Chthamalus montagui Southward, 1976",2115617,"England",NA,NA,"HUMAN_OBSERVATION",NA,"Maxillopoda",203,"Boat Cove, United Kingdom, EUROPE",NA,NA,"EUROPE",50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,12,NA,NA,NA,43,"2021-02-12","378","Survey start time: 11:15:00, low tide time: 12:09:00, low tide height: 0.4 m",NA,"Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468834444","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"People Power Science",NA,NA,"Montagu's stellate barnacles.JPG","Accepted","Ben Holt","77e8d6a8-d50d-4e84-9083-b94ad8776f38",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468834444,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:41.558+00:00","2025-09-13T12:07:41.558+00:00",50.113376,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Boat Cove",NA,NA,-5.452665,NA,2,NA,NA,"5789",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivCrustaceans45","Chthamalus montagui Southward, 1976","Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",43,"NBNSYS0000174547","NBNSYS0000174547",2115617,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Montagu's Stellate Barnacle",NA,NA,2021,2025-09-26
"6","Chthamalus montagui Southward, 1976",2115617,"England",NA,NA,"HUMAN_OBSERVATION",NA,"Maxillopoda",203,"Pendennis Point Beach, United Kingdom, EUROPE",NA,NA,"EUROPE",50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,27,NA,NA,NA,58,"2021-02-27","387","Survey start time: 11:29:00, low tide time: 11:46:00, low tide height: 0.4 m",NA,"Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468835841","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"People Power Science",NA,NA,"P2270057.jpg","Accepted","Ben Holt","d5b6a9c2-aeca-4e38-b95a-c35c58919017",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468835841,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:42.402+00:00","2025-09-13T12:07:42.402+00:00",50.146151,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Pendennis Point Beach",NA,NA,-5.043342,NA,2,NA,NA,"5898",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BioBlitz","Chthamalus montagui Southward, 1976","Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",58,"NBNSYS0000174547","NBNSYS0000174547",2115617,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Montagu's Stellate Barnacle",NA,NA,2021,2025-09-26
"7","Chthamalus montagui Southward, 1976",2115617,"England",NA,NA,"HUMAN_OBSERVATION",NA,"Maxillopoda",203,"Sandymouth, United Kingdom, EUROPE",NA,NA,"EUROPE",50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,16,NA,NA,NA,75,"2021-03-16","414","Survey start time: 14:00:00, low tide time: 13:30:00, low tide height: 1.3 m",NA,"Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468834824","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"People Power Science",NA,NA,"IMG_9123.jpg","Accepted","Jaimie Barnes","7be88103-ba6d-402d-a4ea-6f6779e6ccbb",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468834824,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:41.798+00:00","2025-09-13T12:07:41.798+00:00",50.858756,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Sandymouth",NA,NA,-4.557975,NA,3,NA,NA,"6341",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivCrustaceans45","Chthamalus montagui Southward, 1976","Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",75,"NBNSYS0000174547","NBNSYS0000174547",2115617,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Montagu's Stellate Barnacle",NA,NA,2021,2025-09-26
"8","Chthamalus montagui Southward, 1976",2115617,"England",NA,NA,"HUMAN_OBSERVATION",NA,"Maxillopoda",203,"Mount Batten South, United Kingdom, EUROPE",NA,NA,"EUROPE",50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,28,NA,NA,NA,87,"2021-03-28","418","Survey start time: 12:50:00, low tide time: 12:42:00, low tide height: 0.7 m",NA,"Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468836280","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"People Power Science",NA,NA,"DSCF0005.JPG","Accepted","Ben Holt","612245bb-e3a0-44e1-b2bc-4e84343d6f10",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,FALSE,NA,"GB",FALSE,3468836280,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:42.664+00:00","2025-09-13T12:07:42.664+00:00",50.356396,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Mount Batten South",NA,NA,-4.126498,NA,3,NA,NA,"6392",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivFalseCrabs","Chthamalus montagui Southward, 1976","Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",87,"NBNSYS0000174547","NBNSYS0000174547",2115617,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Montagu's Stellate Barnacle",NA,NA,2021,2025-09-26
"9","Chthamalus montagui Southward, 1976",2115617,"England",NA,NA,"HUMAN_OBSERVATION",NA,"Maxillopoda",203,"Prisk Cove 1, United Kingdom, EUROPE",NA,NA,"EUROPE",50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,10,NA,NA,NA,100,"2021-04-10","425","Survey start time: 10:50:00, low tide time: 12:03:00, low tide height: 0.55 m",NA,"Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468833794","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"People Power Science",NA,NA,"P4100048.jpg","Accepted","Ben Holt","c0a631ef-2e96-4e87-bda5-359bd077ca09",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468833794,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:41.167+00:00","2025-09-13T12:07:41.167+00:00",50.105933,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Prisk Cove 1",NA,NA,-5.087996,NA,4,NA,NA,"6614",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f","RPP463",NA,NA,NA,NA,"RockPoolBingo","Chthamalus montagui Southward, 1976","Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",100,"NBNSYS0000174547","NBNSYS0000174547",2115617,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Montagu's Stellate Barnacle",NA,NA,2021,2025-09-26
"10","Chthamalus montagui Southward, 1976",2115617,"England",NA,NA,"HUMAN_OBSERVATION",NA,"Maxillopoda",203,"Crooklets, United Kingdom, EUROPE",NA,NA,"EUROPE",50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,12,NA,NA,NA,132,"2021-05-12","456","Survey start time: 13:30:00, low tide time: 13:30:00, low tide height: 1.5 m",NA,"Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468831442","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"People Power Science",NA,NA,"RPP437_452_5.jpg","Accepted","Ben Holt","5dac5c5b-0009-4d79-89e8-b6e87d03800d",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468831442,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:39.376+00:00","2025-09-13T12:07:39.376+00:00",50.837137,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Crooklets",NA,NA,-4.557095,NA,5,NA,NA,"7129",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivCrustaceans45","Chthamalus montagui Southward, 1976","Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",132,"NBNSYS0000174547","NBNSYS0000174547",2115617,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Montagu's Stellate Barnacle",NA,NA,2021,2025-09-26
