"","acceptedScientificName","acceptedTaxonKey","adm1","adm2","associatedReferences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","collectionKey","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","distanceFromCentroidInMeters","dynamicProperties","endDayOfYear","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","footprintSRS","footprintWKT","fullCountry","gbifID","gbifRegion","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/captive_cultivated","http://unknown.org/georeferenceRemarks","http://unknown.org/language","http://unknown.org/license","http://unknown.org/modified","http://unknown.org/nick","http://unknown.org/rightsHolder","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","installationKey","institutionCode","institutionID","institutionKey","isInCluster","islandGroup","ISO2","isSequenced","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationID","locationRemarks","lon","materialEntityID","modified","month","municipality","nameAccordingTo","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismQuantity","organismQuantityType","organismRemarks","originalNameUsage","otherCatalogNumbers","ownerInstitutionCode","parentEventID","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","projectId","protocol","publishedByGbifRegion","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rightsHolder","samplingEffort","samplingProtocol","scientificName","scientificNameAuthorship","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","typeStatus","verbatimDepth","verbatimEventDate","verbatimIdentification","verbatimLocality","vernacularName","vitality","waterBody","year","downloadDate"
"1","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,NA,"Maxillopoda",203,"Clodgy Point, United Kingdom, EUROPE",NA,NA,NA,"EUROPE",NA,50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,14,NA,NA,NA,NA,NA,14,"2021-01-14","372","Survey start time: 12:15:00, low tide time: 12:41:00, low tide height: 0.4 m",NA,"Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468832809","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,"People Power Science",NA,NA,"Northern Rock barnacles.JPG","Accepted","Ben Holt","971b7760-3c95-4dea-994c-94688bd0a696",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468832809,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:40.555+00:00","2025-09-13T12:07:40.555+00:00",50.219544,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Clodgy Point",NA,NA,-5.495591,NA,NA,1,NA,NA,NA,"5719",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivCrustaceans45","Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",14,"NBNSYS0000042568","NBNSYS0000042568",2115784,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Acorn Barnacle",NA,NA,2021,2025-09-26
"2","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,NA,"Maxillopoda",203,"Trefusis Point, United Kingdom, EUROPE",NA,NA,NA,"EUROPE",NA,50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,18,NA,NA,NA,NA,NA,18,"2021-01-18","376","Survey start time: 16:00:00, low tide time: 15:04:00, low tide height: 1.1 m",NA,"Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468835232","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,"People Power Science",NA,NA,"P1180011.jpg","Accepted","Ben Holt","c01645ba-f5f6-4c97-8a77-20aa30801b94",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468835232,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:42.071+00:00","2025-09-13T12:07:42.071+00:00",50.16149,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Trefusis Point",NA,NA,-5.058191,NA,NA,1,NA,NA,NA,"5753",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivCrustaceans45","Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",18,"NBNSYS0000042568","NBNSYS0000042568",2115784,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Acorn Barnacle",NA,NA,2021,2025-09-26
"3","Semibalanus balanoides (Linnaeus, 1767)",2115784,"Wales",NA,NA,"HUMAN_OBSERVATION",NA,NA,"Maxillopoda",203,"United Kingdom, EUROPE","CO/D1117/001/01",NA,NA,"EUROPE",NA,7071.1,"United Kingdom",380,NA,"3dc2a7f6-8d3a-4228-a69c-ec795028fe2f",NA,NA,10,NA,NA,NA,NA,NA,10,"2021-01-10",NA,NA,NA,"Archaeobalanidae",5103,NA,NA,NA,"POLYGON((-4.38699 53.0233,-4.38699 53.11602,-4.24268 53.11602,-4.24268 53.0233,-4.38699 53.0233))","United Kingdom of Great Britain and Northern Ireland","4467656176","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,"Cofnod - North Wales Environmental Information Service",NA,NA,NA,"Accepted - correct",NA,"5ffc7dec-1241-4eab-b003-2977f509f08f",NA,"99552c70-f762-11e1-a439-00145eb45e9a","Cofnod – North Wales Environmental Information Service",NA,NA,FALSE,NA,"GB",FALSE,4467656176,"Animalia",1,NA,"2025-09-13T23:11:56.068+00:00","2025-09-13T23:40:55.986+00:00","2025-09-13T23:40:55.986+00:00",53.069686,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-4.314912,NA,NA,1,NA,NA,NA,"7794714",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","47eaaa43-47c7-4754-8e7a-bfaf616da4df","Thomas, D. Dawn",NA,NA,NA,NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",10,"NBNSYS0000042568","NBNSYS0000042568",2115784,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Acorn Barnacle",NA,NA,2021,2025-09-26
"4","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,NA,"Maxillopoda",203,"Tunnel Beach North, United Kingdom, EUROPE",NA,NA,NA,"EUROPE",NA,50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,12,NA,NA,NA,NA,NA,43,"2021-02-12","377","Survey start time: 12:00:00, low tide time: 12:13:00, low tide height: 0.5 m",NA,"Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468831190","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,"People Power Science",NA,NA,"P2120040.JPG","Accepted","Darren Sutton","eadf8063-a630-4691-9e2c-f5a426acaf8c",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468831190,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:39.204+00:00","2025-09-13T12:07:39.204+00:00",50.145796,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Tunnel Beach North",NA,NA,-5.061596,NA,NA,2,NA,NA,NA,"5767",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivCrustaceans45","Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",43,"NBNSYS0000042568","NBNSYS0000042568",2115784,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Acorn Barnacle",NA,NA,2021,2025-09-26
"5","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,NA,"Maxillopoda",203,"Wembury East, United Kingdom, EUROPE",NA,NA,NA,"EUROPE",NA,10,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,28,NA,NA,NA,NA,NA,59,"2021-02-28","391","Survey start time: 11:45:00, low tide time: 12:52:00, low tide height: 0.5 m",NA,"Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468831547","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,"People Power Science",NA,NA,"20210228_125004.jpg","Accepted","Ben Holt","05ae6fed-3f4a-40ef-b08a-9020706dbb76",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,FALSE,NA,"GB",FALSE,3468831547,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:39.466+00:00","2025-09-13T12:07:39.466+00:00",50.315027,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Wembury East",NA,NA,-4.083856,NA,NA,2,NA,NA,NA,"5985",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f","RPP440",NA,NA,NA,NA,"BioBlitz","Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",59,"NBNSYS0000042568","NBNSYS0000042568",2115784,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Acorn Barnacle",NA,NA,2021,2025-09-26
"6","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,NA,"Maxillopoda",203,"Boat Cove, United Kingdom, EUROPE",NA,NA,NA,"EUROPE",NA,50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,12,NA,NA,NA,NA,NA,43,"2021-02-12","378","Survey start time: 11:15:00, low tide time: 12:09:00, low tide height: 0.4 m",NA,"Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468833532","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,"People Power Science",NA,NA,"Northern rock and poli's stellate barnacles.JPG","Accepted","Ben Holt","11b6f2a3-3019-4b23-81c7-49f714b7101e",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468833532,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:41.001+00:00","2025-09-13T12:07:41.001+00:00",50.113376,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Boat Cove",NA,NA,-5.452665,NA,NA,2,NA,NA,NA,"5780",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivCrustaceans45","Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",43,"NBNSYS0000042568","NBNSYS0000042568",2115784,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Acorn Barnacle",NA,NA,2021,2025-09-26
"7","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,NA,"Maxillopoda",203,"Gylly South, United Kingdom, EUROPE",NA,NA,NA,"EUROPE",NA,50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,18,NA,NA,NA,NA,NA,49,"2021-02-18","402","Survey start time: 15:11:00, low tide time: 15:28:00, low tide height: 1.3 m",NA,"Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468834482","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,"People Power Science",NA,NA,"Northern Rock barnacle (Semibalanus balanoides).jpg","Accepted","Jaimie Barnes","14931070-e6d7-4b1f-84ff-317c3711ae51",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468834482,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:41.564+00:00","2025-09-13T12:07:41.564+00:00",50.142879,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Gylly South",NA,NA,-5.06855,NA,NA,2,NA,NA,NA,"6200",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivCrustaceans45","Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",49,"NBNSYS0000042568","NBNSYS0000042568",2115784,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Acorn Barnacle",NA,NA,2021,2025-09-26
"8","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,NA,"Maxillopoda",203,"South Fistral, United Kingdom, EUROPE",NA,NA,NA,"EUROPE",NA,50,"United Kingdom",281,NA,"813d800b-7d9f-4550-9e04-1e13bb114e7e",NA,NA,15,NA,NA,NA,NA,NA,46,"2021-02-15","382","Survey start time: 13:15:00, low tide time: 13:46:00, low tide height: 1.1 m",NA,"Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","3468836005","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,"People Power Science",NA,NA,"Acorn.jpg","Accepted","Ben Holt","26362c35-cf37-4048-870b-72fdbf4bd08f",NA,"99552c70-f762-11e1-a439-00145eb45e9a","The Rock Pool Project",NA,NA,TRUE,NA,"GB",FALSE,3468836005,"Animalia",1,NA,"2025-09-13T12:06:48.836+00:00","2025-09-13T12:07:42.479+00:00","2025-09-13T12:07:42.479+00:00",50.413357,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"South Fistral",NA,NA,-5.105353,NA,NA,2,NA,NA,NA,"5854",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","d8247ad5-f3d5-4e03-b190-a452cc1c002f",NA,NA,NA,NA,NA,"BiodivCrustaceans45","Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",46,"NBNSYS0000042568","NBNSYS0000042568",2115784,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Acorn Barnacle",NA,NA,2021,2025-09-26
"9","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,NA,"Maxillopoda",203,"Featherbed Rocks North, United Kingdom, EUROPE","The Rockpool Project | Imported records",NA,NA,"EUROPE",NA,50,"United Kingdom",377,NA,"97d01261-0027-4e89-a0d2-4a7d700f5fdb",NA,NA,28,NA,NA,NA,NA,NA,59,"2021-02-28","24663310",NA,NA,"Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","4595995599","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,"Marine Biological Association, and Biological Records Centre",NA,NA,NA,"Accepted",NA,"dcf6eb70-1e76-4771-b480-09383b7328bf",NA,"99552c70-f762-11e1-a439-00145eb45e9a",NA,NA,NA,FALSE,NA,"GB",FALSE,4595995599,"Animalia",1,NA,"2025-09-13T22:51:28.990+00:00","2025-09-15T09:50:45.514+00:00","2025-09-15T09:50:45.514+00:00",54.84251,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Featherbed Rocks North",NA,NA,-1.332347,NA,NA,2,NA,NA,NA,"34383180",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","f6b48504-1651-4a49-a88d-c2bc6178694d","Patterson, C. Christophe",NA,NA,NA,NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",59,"NBNSYS0000042568","NBNSYS0000042568",2115784,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Acorn Barnacle",NA,NA,2021,2025-09-26
"10","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,NA,"Maxillopoda",203,"Wembury East, United Kingdom, EUROPE","The Rockpool Project | Imported records",NA,NA,"EUROPE",NA,50,"United Kingdom",377,NA,"97d01261-0027-4e89-a0d2-4a7d700f5fdb",NA,NA,28,NA,NA,NA,NA,NA,59,"2021-02-28","24663306",NA,NA,"Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","4596003766","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,"Marine Biological Association, and Biological Records Centre",NA,NA,NA,"Accepted",NA,"aa5f2b11-646d-46a3-ac76-7e8450d10259",NA,"99552c70-f762-11e1-a439-00145eb45e9a",NA,NA,NA,FALSE,NA,"GB",FALSE,4596003766,"Animalia",1,NA,"2025-09-13T22:51:28.990+00:00","2025-09-15T09:50:48.248+00:00","2025-09-15T09:50:48.248+00:00",50.316696,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Wembury East",NA,NA,-4.083921,NA,NA,2,NA,NA,NA,"34383142",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","f6b48504-1651-4a49-a88d-c2bc6178694d","Family, W. Wilson",NA,NA,NA,NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",59,"NBNSYS0000042568","NBNSYS0000042568",2115784,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Acorn Barnacle",NA,NA,2021,2025-09-26
