"","full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"1","Chthamalus.montagui_PA1_RUN1_GAM","PA1","RUN1","GAM","TSS",565,85.377,81.604,0.667,0.724,0.649
"2","Chthamalus.montagui_PA1_RUN1_GAM","PA1","RUN1","GAM","ROC",563.5,85.377,81.604,0.865,0.884,0.852
"3","Chthamalus.montagui_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",545,82.547,83.491,0.66,0.707,0.653
"4","Chthamalus.montagui_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",544.5,82.547,83.491,0.877,0.888,0.868
"5","Chthamalus.montagui_PA1_RUN1_RF","PA1","RUN1","RF","TSS",510,100,100,1,0.823,0.397
"6","Chthamalus.montagui_PA1_RUN1_RF","PA1","RUN1","RF","ROC",514,100,100,1,0.969,0.729
"7","Chthamalus.montagui_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","TSS",300,77.358,90.33,0.677,0.657,0.606
"8","Chthamalus.montagui_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","ROC",299,77.358,90.33,0.916,0.906,0.832
"9","Chthamalus.montagui_PA1_RUN2_GAM","PA1","RUN2","GAM","TSS",567,84.906,81.132,0.658,0.707,0.635
"10","Chthamalus.montagui_PA1_RUN2_GAM","PA1","RUN2","GAM","ROC",555,85.377,80.66,0.866,0.883,0.845
"11","Chthamalus.montagui_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",573.5,82.311,84.906,0.672,0.674,0.658
"12","Chthamalus.montagui_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",567,82.783,84.67,0.879,0.882,0.873
"13","Chthamalus.montagui_PA1_RUN2_RF","PA1","RUN2","RF","TSS",500,100,100,1,0.812,0.368
"14","Chthamalus.montagui_PA1_RUN2_RF","PA1","RUN2","RF","ROC",503,100,100,1,0.958,0.74
"15","Chthamalus.montagui_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","TSS",350,79.481,91.274,0.708,0.68,0.521
"16","Chthamalus.montagui_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","ROC",355.5,79.245,91.509,0.918,0.906,0.827
"17","Chthamalus.montagui_PA1_allRun_GAM","PA1","allRun","GAM","TSS",567,86.281,82.149,0.684,NA,0.621
"18","Chthamalus.montagui_PA1_allRun_GAM","PA1","allRun","GAM","ROC",557.5,86.942,81.653,0.871,NA,0.85
"19","Chthamalus.montagui_PA1_allRun_GLM","PA1","allRun","GLM","TSS",585,82.81,84.463,0.673,NA,0.653
"20","Chthamalus.montagui_PA1_allRun_GLM","PA1","allRun","GLM","ROC",526.5,84.793,82.645,0.881,NA,0.869
"21","Chthamalus.montagui_PA1_allRun_RF","PA1","allRun","RF","TSS",505,100,100,1,NA,0.383
"22","Chthamalus.montagui_PA1_allRun_RF","PA1","allRun","RF","ROC",504,100,100,1,NA,0.737
"23","Chthamalus.montagui_PA1_allRun_MAXENT","PA1","allRun","MAXENT","TSS",332,80.661,90.413,0.712,NA,0.598
"24","Chthamalus.montagui_PA1_allRun_MAXENT","PA1","allRun","MAXENT","ROC",341.5,80.661,90.909,0.919,NA,0.839
"25","Chthamalus.montagui_allData_allRun_GAM","allData","allRun","GAM","TSS",567,86.281,82.149,0.684,NA,0.621
"26","Chthamalus.montagui_allData_allRun_GAM","allData","allRun","GAM","ROC",557.5,86.942,81.653,0.871,NA,0.85
"27","Chthamalus.montagui_allData_allRun_GLM","allData","allRun","GLM","TSS",585,82.81,84.463,0.673,NA,0.653
"28","Chthamalus.montagui_allData_allRun_GLM","allData","allRun","GLM","ROC",526.5,84.793,82.645,0.881,NA,0.869
"29","Chthamalus.montagui_allData_allRun_RF","allData","allRun","RF","TSS",505,100,100,1,NA,0.383
"30","Chthamalus.montagui_allData_allRun_RF","allData","allRun","RF","ROC",504,100,100,1,NA,0.737
"31","Chthamalus.montagui_allData_allRun_MAXENT","allData","allRun","MAXENT","TSS",332,80.661,90.413,0.712,NA,0.598
"32","Chthamalus.montagui_allData_allRun_MAXENT","allData","allRun","MAXENT","ROC",341.5,80.661,90.909,0.919,NA,0.839
