"","full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"1","Chthamalus.montagui_PA1_RUN1_GAM","PA1","RUN1","GAM","TSS",528,86.165,78.641,0.646,0.644,0.595
"2","Chthamalus.montagui_PA1_RUN1_GAM","PA1","RUN1","GAM","ROC",526.5,86.165,78.641,0.855,0.856,0.832
"3","Chthamalus.montagui_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",601,80.34,84.223,0.648,0.599,0.646
"4","Chthamalus.montagui_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",602,80.34,84.466,0.868,0.858,0.85
"5","Chthamalus.montagui_PA1_RUN1_RF","PA1","RUN1","RF","TSS",505,100,100,1,0.785,0.435
"6","Chthamalus.montagui_PA1_RUN1_RF","PA1","RUN1","RF","ROC",506,100,100,1,0.951,0.746
"7","Chthamalus.montagui_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","TSS",350,81.311,88.107,0.694,0.672,0.528
"8","Chthamalus.montagui_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","ROC",348.5,81.311,88.107,0.911,0.893,0.836
"9","Chthamalus.montagui_PA1_RUN2_GAM","PA1","RUN2","GAM","TSS",549,85.68,78.155,0.641,0.672,0.645
"10","Chthamalus.montagui_PA1_RUN2_GAM","PA1","RUN2","GAM","ROC",545.5,86.408,77.913,0.853,0.866,0.849
"11","Chthamalus.montagui_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",515,83.738,77.913,0.621,0.638,0.639
"12","Chthamalus.montagui_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",613.5,77.913,84.709,0.87,0.862,0.862
"13","Chthamalus.montagui_PA1_RUN2_RF","PA1","RUN2","RF","TSS",500,100,100,1,0.729,0.433
"14","Chthamalus.montagui_PA1_RUN2_RF","PA1","RUN2","RF","ROC",499,100,100,1,0.948,0.733
"15","Chthamalus.montagui_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","TSS",220,87.136,82.524,0.697,0.633,0.58
"16","Chthamalus.montagui_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","ROC",221,87.136,82.524,0.916,0.886,0.836
"17","Chthamalus.montagui_PA1_allRun_GAM","PA1","allRun","GAM","TSS",537,86.248,78.947,0.654,NA,0.614
"18","Chthamalus.montagui_PA1_allRun_GAM","PA1","allRun","GAM","ROC",531,86.418,78.947,0.855,NA,0.843
"19","Chthamalus.montagui_PA1_allRun_GLM","PA1","allRun","GLM","TSS",596,81.494,83.362,0.649,NA,0.646
"20","Chthamalus.montagui_PA1_allRun_GLM","PA1","allRun","GLM","ROC",601.5,81.494,83.531,0.866,NA,0.863
"21","Chthamalus.montagui_PA1_allRun_RF","PA1","allRun","RF","TSS",495,100,100,1,NA,0.423
"22","Chthamalus.montagui_PA1_allRun_RF","PA1","allRun","RF","ROC",498,100,100,1,NA,0.746
"23","Chthamalus.montagui_PA1_allRun_MAXENT","PA1","allRun","MAXENT","TSS",387,82.683,85.908,0.686,NA,0.643
"24","Chthamalus.montagui_PA1_allRun_MAXENT","PA1","allRun","MAXENT","ROC",386.5,82.683,85.908,0.909,NA,0.846
"25","Chthamalus.montagui_allData_allRun_GAM","allData","allRun","GAM","TSS",537,86.248,78.947,0.654,NA,0.614
"26","Chthamalus.montagui_allData_allRun_GAM","allData","allRun","GAM","ROC",531,86.418,78.947,0.855,NA,0.843
"27","Chthamalus.montagui_allData_allRun_GLM","allData","allRun","GLM","TSS",596,81.494,83.362,0.649,NA,0.646
"28","Chthamalus.montagui_allData_allRun_GLM","allData","allRun","GLM","ROC",601.5,81.494,83.531,0.866,NA,0.863
"29","Chthamalus.montagui_allData_allRun_RF","allData","allRun","RF","TSS",495,100,100,1,NA,0.423
"30","Chthamalus.montagui_allData_allRun_RF","allData","allRun","RF","ROC",498,100,100,1,NA,0.746
"31","Chthamalus.montagui_allData_allRun_MAXENT","allData","allRun","MAXENT","TSS",387,82.683,85.908,0.686,NA,0.643
"32","Chthamalus.montagui_allData_allRun_MAXENT","allData","allRun","MAXENT","ROC",386.5,82.683,85.908,0.909,NA,0.846
