"","full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"1","Chthamalus.montagui_PA1_RUN1_GAM","PA1","RUN1","GAM","TSS",538.5,87.16,78.025,0.649,0.676,0.653
"2","Chthamalus.montagui_PA1_RUN1_GAM","PA1","RUN1","GAM","ROC",548.5,86.667,78.519,0.864,0.871,0.858
"3","Chthamalus.montagui_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",592,81.235,84.198,0.654,0.671,0.614
"4","Chthamalus.montagui_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",597,81.235,84.691,0.879,0.874,0.865
"5","Chthamalus.montagui_PA1_RUN1_RF","PA1","RUN1","RF","TSS",490,100,100,1,0.803,0.517
"6","Chthamalus.montagui_PA1_RUN1_RF","PA1","RUN1","RF","ROC",491,100,100,1,0.955,0.785
"7","Chthamalus.montagui_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","TSS",289,72.099,93.086,0.654,0.653,0.544
"8","Chthamalus.montagui_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","ROC",292.5,72.099,93.333,0.896,0.887,0.793
"9","Chthamalus.montagui_PA1_RUN2_GAM","PA1","RUN2","GAM","TSS",665,80.494,85.926,0.664,0.566,0.595
"10","Chthamalus.montagui_PA1_RUN2_GAM","PA1","RUN2","GAM","ROC",667.5,80.494,86.173,0.876,0.827,0.827
"11","Chthamalus.montagui_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",585,82.716,85.432,0.681,0.578,0.646
"12","Chthamalus.montagui_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",585.5,82.716,85.432,0.884,0.853,0.851
"13","Chthamalus.montagui_PA1_RUN2_RF","PA1","RUN2","RF","TSS",500,100,100,1,0.757,0.517
"14","Chthamalus.montagui_PA1_RUN2_RF","PA1","RUN2","RF","ROC",501,100,100,1,0.951,0.786
"15","Chthamalus.montagui_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","TSS",209,80,88.889,0.691,0.59,0.556
"16","Chthamalus.montagui_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","ROC",200.5,80.247,88.889,0.921,0.853,0.802
"17","Chthamalus.montagui_PA1_allRun_GAM","PA1","allRun","GAM","TSS",544,86.851,79.412,0.663,NA,0.649
"18","Chthamalus.montagui_PA1_allRun_GAM","PA1","allRun","GAM","ROC",548.5,86.851,79.585,0.865,NA,0.847
"19","Chthamalus.montagui_PA1_allRun_GLM","PA1","allRun","GLM","TSS",567,83.045,82.699,0.659,NA,0.639
"20","Chthamalus.montagui_PA1_allRun_GLM","PA1","allRun","GLM","ROC",530.5,84.429,81.488,0.877,NA,0.865
"21","Chthamalus.montagui_PA1_allRun_RF","PA1","allRun","RF","TSS",495,100,100,1,NA,0.493
"22","Chthamalus.montagui_PA1_allRun_RF","PA1","allRun","RF","ROC",496,100,100,1,NA,0.755
"23","Chthamalus.montagui_PA1_allRun_MAXENT","PA1","allRun","MAXENT","TSS",320,77.855,89.792,0.68,NA,0.588
"24","Chthamalus.montagui_PA1_allRun_MAXENT","PA1","allRun","MAXENT","ROC",307.5,78.374,89.619,0.92,NA,0.814
"25","Chthamalus.montagui_allData_allRun_GAM","allData","allRun","GAM","TSS",544,86.851,79.412,0.663,NA,0.649
"26","Chthamalus.montagui_allData_allRun_GAM","allData","allRun","GAM","ROC",548.5,86.851,79.585,0.865,NA,0.847
"27","Chthamalus.montagui_allData_allRun_GLM","allData","allRun","GLM","TSS",567,83.045,82.699,0.659,NA,0.639
"28","Chthamalus.montagui_allData_allRun_GLM","allData","allRun","GLM","ROC",530.5,84.429,81.488,0.877,NA,0.865
"29","Chthamalus.montagui_allData_allRun_RF","allData","allRun","RF","TSS",495,100,100,1,NA,0.493
"30","Chthamalus.montagui_allData_allRun_RF","allData","allRun","RF","ROC",496,100,100,1,NA,0.755
"31","Chthamalus.montagui_allData_allRun_MAXENT","allData","allRun","MAXENT","TSS",320,77.855,89.792,0.68,NA,0.588
"32","Chthamalus.montagui_allData_allRun_MAXENT","allData","allRun","MAXENT","ROC",307.5,78.374,89.619,0.92,NA,0.814
