"","full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"1","Semibalanus.balanoides_PA1_RUN1_GAM","PA1","RUN1","GAM","TSS",532,68.174,63.209,0.314,0.323,0.165
"2","Semibalanus.balanoides_PA1_RUN1_GAM","PA1","RUN1","GAM","ROC",535.5,67.819,64.539,0.687,0.663,0.522
"3","Semibalanus.balanoides_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",538,68.528,61.879,0.302,0.296,0.245
"4","Semibalanus.balanoides_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",541.5,68.085,62.589,0.693,0.661,0.567
"5","Semibalanus.balanoides_PA1_RUN1_RF","PA1","RUN1","RF","TSS",490,100,100,1,0.772,0.368
"6","Semibalanus.balanoides_PA1_RUN1_RF","PA1","RUN1","RF","ROC",488,100,100,1,0.96,0.713
"7","Semibalanus.balanoides_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","TSS",477,67.199,75.887,0.431,0.395,0.214
"8","Semibalanus.balanoides_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","ROC",480,67.199,75.887,0.779,0.764,0.565
"9","Semibalanus.balanoides_PA1_RUN2_GAM","PA1","RUN2","GAM","TSS",524,69.681,63.918,0.337,0.28,0.142
"10","Semibalanus.balanoides_PA1_RUN2_GAM","PA1","RUN2","GAM","ROC",524.5,69.681,64.007,0.685,0.665,0.503
"11","Semibalanus.balanoides_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",557,62.323,69.238,0.315,0.255,0.181
"12","Semibalanus.balanoides_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",555.5,62.5,69.238,0.689,0.666,0.542
"13","Semibalanus.balanoides_PA1_RUN2_RF","PA1","RUN2","RF","TSS",480,100,100,1,0.766,0.405
"14","Semibalanus.balanoides_PA1_RUN2_RF","PA1","RUN2","RF","ROC",481,100,100,1,0.954,0.712
"15","Semibalanus.balanoides_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","TSS",473,69.77,79.787,0.496,0.427,0.205
"16","Semibalanus.balanoides_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","ROC",456.5,69.858,79.699,0.802,0.757,0.544
"17","Semibalanus.balanoides_PA1_allRun_GAM","PA1","allRun","GAM","TSS",534,67.101,64.929,0.32,NA,0.142
"18","Semibalanus.balanoides_PA1_allRun_GAM","PA1","allRun","GAM","ROC",535.5,66.853,65.425,0.679,NA,0.506
"19","Semibalanus.balanoides_PA1_allRun_GLM","PA1","allRun","GLM","TSS",537,67.349,63.749,0.313,NA,0.181
"20","Semibalanus.balanoides_PA1_allRun_GLM","PA1","allRun","GLM","ROC",537.5,67.287,63.998,0.683,NA,0.542
"21","Semibalanus.balanoides_PA1_allRun_RF","PA1","allRun","RF","TSS",485,100,100,1,NA,0.447
"22","Semibalanus.balanoides_PA1_allRun_RF","PA1","allRun","RF","ROC",484,100,100,1,NA,0.752
"23","Semibalanus.balanoides_PA1_allRun_MAXENT","PA1","allRun","MAXENT","TSS",408,74.053,71.136,0.452,NA,0.177
"24","Semibalanus.balanoides_PA1_allRun_MAXENT","PA1","allRun","MAXENT","ROC",412,74.053,71.136,0.803,NA,0.581
"25","Semibalanus.balanoides_allData_allRun_GAM","allData","allRun","GAM","TSS",534,67.101,64.929,0.32,NA,0.142
"26","Semibalanus.balanoides_allData_allRun_GAM","allData","allRun","GAM","ROC",535.5,66.853,65.425,0.679,NA,0.506
"27","Semibalanus.balanoides_allData_allRun_GLM","allData","allRun","GLM","TSS",537,67.349,63.749,0.313,NA,0.181
"28","Semibalanus.balanoides_allData_allRun_GLM","allData","allRun","GLM","ROC",537.5,67.287,63.998,0.683,NA,0.542
"29","Semibalanus.balanoides_allData_allRun_RF","allData","allRun","RF","TSS",485,100,100,1,NA,0.447
"30","Semibalanus.balanoides_allData_allRun_RF","allData","allRun","RF","ROC",484,100,100,1,NA,0.752
"31","Semibalanus.balanoides_allData_allRun_MAXENT","allData","allRun","MAXENT","TSS",408,74.053,71.136,0.452,NA,0.177
"32","Semibalanus.balanoides_allData_allRun_MAXENT","allData","allRun","MAXENT","ROC",412,74.053,71.136,0.803,NA,0.581
